,Comercializadora,Oferta,Importe primer año,Importe 2o año,Validez,Servicios adicionales,Penalizacion,Verde
0,ENDESA ENERGÍA S.A.U.,"One Luz y Gas RL.2
        ","1.757,80 €","
          1.817,46 €
        ","
          Válida sólo para consumidores domésticos
        ","
          Ninguno
        ","
          No
        ",False
1,TOTALENERGIES CLIENTES S.A.U.,"A TU AIRE GAS + LUZ SIEMPRE + DIGITAL
        ","1.862,09 €","
          1.868,01 €
        ","
          Válida sólo para consumidores domésticos
        ","
          Ninguno
        ","
          No
        ",True
2,TOTALENERGIES CLIENTES S.A.U.,"A TU AIRE GAS + LUZ PROGRAMA TU AHORRO + DIGITAL
        ","1.863,57 €","
          1.869,49 €
        ","
          Válida sólo para consumidores domésticos
        ","
          Ninguno
        ","
          No
        ",True
3,"REPSOL COMERCIALIZADORA DE ELECTRICIDAD Y GAS, S.L.U","REPSOL PLAN MIXTO + desc hasta 130 € en carburante / 02
        ","2.068,33 €","
          2.068,33 €
        ","
          Válida para cualquier consumidor
        ","
          Ninguno
        ","
          No
        ",False
