,Comercializadora,Oferta,Importe Anual 1er año:,Importe Anual 2º año,Validez,Servicios adicionales incluidos,Penalización
0,Comercializadora de último recurso,Tarífa Último Recurso,"517,07 €","517,07 €",Oferta válida sólo para consumidores con derecho a TUR,Ninguno,No
1,ADELFAS ENERGIA SL,Gas a precio de coste RL.2,"638,03 €","638,03 €",Oferta válida solo para nuevos clientes,Ninguno,No
2,"NINOBE SERVICIOS ENERGÉTICOS, SL",NINOBE Gas RL2,"984,94 €","984,94 €",Válida para cualquier consumidor,Ninguno,No
3,CIDE HCENERGÍA S.A.U,Plan Cercanía RL.2,"986,29 €","986,29 €",Válida para consumidores domésticos y pequeños negocios,Ninguno,No
4,NEXUS ENERGIA SA,Gas Estable RL2,"1.004,35 €","1.004,35 €",Válida para cualquier consumidor,Ninguno,No
5,"NATURGY IBERIA, S.A.",Tarifa Digital Gas RL2,"1.042,23 €","1.042,23 €",Válida sólo para consumidores domésticos,Ninguno,No
6,"NATURGY IBERIA, S.A.",Tarifa Por Uso Gas RL2,"1.099,79 €","1.149,75 €",Oferta válida solo para nuevos clientes,Ninguno,No
7,ENDESA ENERGÍA S.A.U.,ONE Gas R.L.2,"1.101,49 €","1.101,49 €",Válida para cualquier consumidor,Ninguno,No
8,"REPSOL COMERCIALIZADORA DE ELECTRICIDAD Y GAS, S.L.U",REPSOL TARIFA GAS ONLINE con calefacción + desc. hasta 110 € en carburante / 02,"1.121,65 €","1.121,65 €",Válida sólo para consumidores domésticos,Ninguno,No
9,TOTALENERGIES CLIENTES S.A.U.,A TU AIRE GAS RL2 + DIGITAL,"1.141,22 €","1.145,12 €",Válida sólo para consumidores domésticos,Ninguno,No
10,"IBERDROLA CLIENTES, S.A.U.",RL2 Hogar Online,"1.198,77 €","1.198,77 €","Válido para clientes domésticos, pequeños negocios y comunidades de propietarios.",Ninguno,No
11,"IBERDROLA CLIENTES, S.A.U.",RL2 Segunda Vivienda Online,"1.244,39 €","1.244,39 €","Válido para clientes domésticos, pequeños negocios y comunidades de propietarios.",Ninguno,No
12,"REPSOL COMERCIALIZADORA DE ELECTRICIDAD Y GAS, S.L.U",GAS & MAS con calefacción + desc. hasta 110 € en carburante / 02,"1.247,65 €","1.247,65 €",Válida sólo para consumidores domésticos,Ninguno,No
13,GEO ALTERNATIVA S.L.,Flexi GAS R2,"1.281,04 €","1.281,04 €",Oferta válida solo para nuevos clientes,Ninguno,No
14,ENERGIA NUFRI SL,RL.2,"1.411,83 €","1.411,83 €",Oferta válida solo para nuevos clientes,Ninguno,No
15,CATGAS ENERGIA SA,RL.2,"1.540,10 €","1.540,10 €",Válida para consumidores domésticos y pequeños negocios,Ninguno,No
16,DOMESTICA GAS Y ELECTRICIDAD SLU,RL.2 - GAS,"1.540,66 €","1.540,66 €",Válida sólo para consumidores domésticos,Ninguno,No
